nbSyll;pron;origin;lineId;motVedette;pronSampa;ipa
4;ădmĭʹnĭſt_e_r;L.;69.0;administer;@ d m I n @ s t 3:r;ədmɪnəstɜ:r
2;ăʹrtful;;68.0;artful;A r\ t f @ l;ɑɹtfəl
2;beaʹver;;29.0;beaver;b i: v 3:r;biːvɜ:r
2;bȯʹẇſer;;10.0;bowser;b @U z 3:r;boʊzɜ:r
1;brĭdge;;3.0;bridge;b r\ I dZ;bɹɪ?
2;bŭʹbble;;59.0;bubble;b V b @ l;bʌbəl
2;căʹnton;F.;58.0;canton;k { n t @ n;kæntən
2;căʹpon;;7.0;capon;k eI p A n;k?pɑn
4;cāprĭʹcĭ_o_us;F.;10.0;capricious;k @ p r\ I S @ s;kəpɹɪʃəs
1;căre;;44.0;care;k E r\;kɛɹ
1;clăſh;G.;32.0;clash;k l { S;klæʃ
1;crūſe;;48.0;cruse;k r\ u z;kɹuz
2;dăpp_e_r;;37.0;dapper;d { p 3:r;dæpɜ:r
1;deem;;10.0;deem;d i: m;diːm
2;defāʹme;L.;16.0;defame;d i f eI m;dif?m
2;depăʹrt;F.;52.0;depart;d i p A r\ t;dipɑɹt
2;dĭſlŏʹdge;F.;27.0;dislodge;d i s l A dZ;dislɑ?
2;dȯʹẇry;;59.0;dowry;d aU r\ i:;d?ɹiː
1;earn;;10.0;earn;3:r n;ɜ:rn
4;equaʹlĭty;L.;56.0;equality;i k w A l @ 4 i:;ikwɑləɾiː
2;ĕʹrrănd;;23.0;errand;E r\ @ n d;ɛɹənd
2;faiʹry;;30.0;fairy;f E r\ i:;fɛɹiː
1;fĭn;;57.0;fin;f I n;fɪn
1;fold;;10.0;fold;f @U l d;foʊld
3;fōʹr_e_căſtle;;49.0;forecastle;f O: r\ k { s @ l;fOːɹkæsəl
1;galls;;7.0;galls;g O: l z;gOːlz
2;gĕnteeʹl;F.;41.0;genteel;dZ E n t i: l;?ɛntiːl
3;glăʹcĭāte;L.;48.0;glaciate;g l eI S i: eI t;gl?ʃiː?t
1;glŭt;;32.0;glut;g l V t;glʌt
1;_g_năt;;36.0;gnat;n { t;næt
1;good;;68.0;good;g U d;gʊd
1;heart;;24.0;heart;h A r\ t;hɑɹt
3;jăpănēʹſe;F.;28.0;japanese;dZ { p @ n i: z;?æpəniːz
3;jĕʹſsămine;F.;44.0;jessamine;dZ E s @ m i n;?ɛsəmin
4;ĭʹmĭtable;L.;51.0;imitable;I m @ 4 @ b @ l;ɪməɾəbəl
4;immūʹtable;L.;19.0;immutable;i m j u 4 @ b @ l;imjuɾəbəl
5;impŏʹverĭſhment;;22.0;impoverishment;i m p A v r\ i S m @ n t;impɑvɹiʃmənt
5;imprăʹctĭcable;F.;25.0;impracticable;i m p r\ { k t i k @ b @ l;impɹæktikəbəl
6;inaugŭrāʹtion;;7.0;inauguration;i n O: g j 3:r eI S @ n;inOːgjɜ:r?ʃən
5;inſtăbĭʹlĭty;L.;52.0;instability;I n s t @ b I l i 4 i:;ɪnstəbɪliɾiː
1;leet;;7.0;leet;l i: t;liːt
1;lot;F.;40.0;lot;l A t;lɑt
4;mĕʹrcĕnăry;L.;16.0;mercenary;m 3:r s @ n E r\ i:;mɜ:rsənɛɹiː
2;mĭʹddling;;9.0;middling;m I 4 @ l i N;mɪɾəliŋ
1;mīle;L.;20.0;mile;m aI l;m?l
2;mĭʹngle;;48.0;mingle;m I N g @ l;mɪŋgəl
2;mīʹtre;G.;73.0;mitre;m I t r\ i:;mɪtɹiː
2;mŏʹney;;62.0;money;m V n i:;mʌniː
2;mŏʹral;;28.0;moral;m O: r\ @ l;mOːɹəl
2;năʹrro_w_;;18.0;narrow;n E r\ @U;nɛɹoʊ
1;nĭll;;49.0;nill;n I l;nɪl
3;occŭʹrrĕnce;;58.0;occurrence;@ k 3:r @ n s;əkɜ:rəns
1;peace;L.;48.0;peace;p i: s;piːs
3;pĕʹrĭl_o_us;;25.0;perilous;p E r\ @ l @ s;pɛɹələs
2;pŏʹrtrait;;22.0;portrait;p O: r\ t r\ @ t;pOːɹtɹət
1;prieſt;;13.0;priest;p r\ i: s t;pɹiːst
3;procŏʹnſul;L.;69.0;proconsul;p r\ @U k A n s @ l;pɹoʊkɑnsəl
2;prŏʹp_e_r;;8.0;proper;p r\ A p 3:r;pɹɑpɜ:r
1;quart;F.;33.0;quart;k w O: r\ t;kwOːɹt
1;răft;;21.0;raft;r\ { f t;ɹæft
2;raiʹſins;F.;36.0;raisins;r\ eI z @ n z;ɹ?zənz
7;rĕcŏncĭlĭāʹtion;L.;21.0;reconciliation;r\ E k @ n s I l i: eI S @ n;ɹɛkənsɪliː?ʃən
3;rĕʹvĕnūe;F.;16.0;revenue;r\ E v @ n u;ɹɛvənu
2;rȯʹẇer;;53.0;rower;r\ @U 3:r;ɹoʊɜ:r
3;rūdĭments;;69.0;rudiments;r\ u 4 i m @ n t s;ɹuɾimənts
3;sălīʹvā;L.;25.0;saliva;s @ l aI v @;səl?və
2;sĕʹgment;L.;4.0;segment;s E g m @ n t;sɛgmənt
1;ſkew;;6.0;skew;s k j u;skju
1;ſtrŭt;;8.0;strut;s t r\ V t;stɹʌt
1;swăp;;57.0;swap;s w A p;swɑp
1;tāſte;;5.0;taste;t eI s t;t?st
1;tĕnd;;67.0;tend;t E n d;tɛnd
3;tĕʹſtāmĕnt;L.;38.0;testament;t E s t @ m @ n t;tɛstəmənt
3;tĕʹſtĭfy;L.;47.0;testify;t E s t @ f aI;tɛstəf?
1;thrĭft;;70.0;thrift;T r\ I f t;θɹɪft
1;trūce;;25.0;truce;t r\ u s;tɹus
4;tūmŭʹltū_o_us;;71.0;tumultuous;t u m V l tS u @ s;tumʌl?uəs
2;vĕʹnt_e_r;;38.0;venter;v E n t 3:r;vɛntɜ:r
6;verĭsĭmĭʹlĭtūde;;65.0;verisimilitude;v E r\ @ s @ m I l @ t u d;vɛɹəsəmɪlətud
3;ŭncaʹlled;;27.0;uncalled;@ n k O: l d;ənkOːld
3;ŭndĕrfooʹt;;39.0;underfoot;V n d 3:r f U t;ʌndɜ:rfʊt
2;wāʹver;;52.0;waver;w eI v 3:r;w?vɜ:r
1;wield;;50.0;wield;w i: l d;wiːld
